,mmlu,truthfulqa,gsm,bbh,tydiqa,average acc
label-filtered-2k,64.7,3.7,63.5,57.8,63.3,50.6
label-filtered-5k,63.8,20.1,60.0,59.5,63.3,53.3
label-filtered-20k,62.1,40.0,62.0,59.3,62.1,57.1
label-filtered-40k,63.3,40.8,61.0,61.2,59.8,57.2
diversity-filtered-2k,63.2,3.7,59.5,54.5,67.0,49.6
diversity-filtered-5k,63.8,30.7,62.0,60.0,63.9,56.1
diversity-filtered-20k,63.4,41.0,61.5,59.3,65.7,58.2
diversity-filtered-40k,63.4,41.5,59.5,58.0,65.2,57.5
filtered-2k,63.1,23.9,64.0,60.3,64.6,55.2
filtered-5k,62.7,46.5,66.5,59.4,66.9,60.4
filtered-20k,63.5,48.2,62.5,57.1,65.4,59.3
filtered-40k,63.8,53.9,65.5,57.1,64.4,60.9
filtered-cured-0.5-2k,0.0,0.0,0.0,0.0,0.0,0.0
filtered-cured-0.5-5k,0.0,0.0,0.0,0.0,0.0,0.0
filtered-cured-0.5-20k,0.0,0.0,0.0,0.0,0.0,0.0
filtered-cured-0.5-40k,0.0,0.0,0.0,0.0,0.0,0.0
